WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-04-07T12:00:00,7.202216,,7.202216,,8.745548,,8.745548,,11.317768,10.28888,10.28888,11.832212,11.832212,6.687772,,5.14444,4.629996,,4.629996,6.687772,6.687772,,6.687772,7.202216,7.202216,7.202216,5.658884,7.202216,7.202216,7.71666,,10.28888,10.28888,
2018-04-07T18:00:00,,4.629996,,8.745548,,9.259992,,9.259992,,10.28888,11.317768,11.317768,11.317768,11.317768,6.173328,,4.629996,5.14444,,5.14444,6.173328,6.173328,,6.173328,7.71666,7.71666,7.71666,5.14444,,,7.202216,,10.803324,
2018-04-08T00:00:00,9.259992,,9.259992,,9.259992,,7.202216,,7.202216,,6.687772,7.71666,7.71666,5.658884,5.658884,5.14444,,4.115552,,,,,,,5.14444,4.115552,4.115552,4.115552,5.14444,7.71666,7.71666,5.14444,,6.173328
2018-04-08T06:00:00,,6.687772,,8.745548,,7.71666,,6.173328,,6.173328,,5.14444,5.14444,5.14444,5.14444,5.14444,,,5.14444,5.14444,,5.14444,,,,5.14444,5.658884,5.658884,5.658884,,7.202216,7.202216,,
2018-04-08T12:00:00,8.231104,,5.14444,,7.202216,,6.687772,,6.687772,,6.687772,,4.629996,4.629996,4.629996,4.629996,4.629996,4.629996,,4.629996,4.629996,,4.629996,5.658884,5.658884,,4.629996,,,,5.658884,,,
2018-04-08T18:00:00,,4.115552,,3.086664,,4.115552,,5.14444,,4.115552,,3.086664,,2.057776,2.057776,2.057776,2.57222,3.086664,3.086664,,2.57222,2.057776,,2.057776,4.115552,4.115552,,,4.629996,4.629996,4.629996,4.115552,6.173328,6.173328
2018-04-09T00:00:00,3.086664,,3.086664,,3.086664,,3.086664,,3.086664,,5.14444,,4.115552,,3.601108,3.601108,3.601108,4.115552,4.629996,4.629996,,4.115552,3.601108,,3.601108,5.14444,5.14444,,4.629996,6.173328,6.173328,6.173328,,
2018-04-09T06:00:00,,3.601108,,4.115552,,4.115552,,4.629996,,4.115552,,4.629996,,,,,,,,,,,,3.086664,,3.086664,4.629996,4.629996,,5.14444,7.202216,7.202216,7.202216,
2018-04-09T12:00:00,,,4.629996,,5.14444,,4.629996,,4.115552,,5.14444,,5.658884,,3.601108,,,,,4.115552,4.115552,3.601108,,4.115552,4.629996,,4.629996,6.173328,6.173328,,6.173328,7.202216,7.202216,6.173328
2018-04-09T18:00:00,,,,4.115552,,4.115552,,4.115552,,4.629996,,4.115552,,5.658884,,3.601108,,,,,3.601108,3.601108,3.086664,,4.115552,5.14444,,5.14444,5.658884,5.658884,,,7.71666,7.71666
2018-04-10T00:00:00,,,,,3.086664,,3.086664,,3.086664,,3.086664,,2.57222,,4.115552,,4.115552,,3.086664,3.086664,3.086664,2.57222,2.57222,2.057776,,3.601108,,,,4.629996,4.629996,,,5.658884
2018-04-10T06:00:00,,,,,,3.086664,,2.057776,,3.086664,,4.115552,,3.086664,,3.086664,,3.086664,,,,,3.601108,3.601108,3.086664,,3.086664,,,,,,,
2018-04-10T12:00:00,5.658884,,,,,,4.629996,,3.086664,,2.57222,,,,3.601108,,4.629996,,3.601108,,6.173328,6.173328,6.173328,5.14444,5.14444,4.629996,,4.115552,5.14444,,5.14444,6.173328,6.173328,
